"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHN",5,2002,2002-05-15,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,66070,NA,NA,NA,NA,NA,640
"CHC",5,2002,2002-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,42280,NA,NA,NA,NA,NA,0
"CHS",5,2002,2002-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,28500,NA,NA,NA,NA,NA,0
"BA",5,2002,2002-05-15,NA,NA,NA,NA,NA,22500,NA,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA,300
"CHN",6,2002,2002-06-15,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,78600,NA,NA,NA,NA,NA,300
"CHC",6,2002,2002-06-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,22315,NA,NA,NA,NA,NA,0
"CHS",6,2002,2002-06-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,25
"BA",6,2002,2002-06-15,NA,NA,NA,NA,NA,22800,NA,NA,NA,NA,NA,28000,NA,NA,NA,NA,NA,0
"CHN",7,2002,2002-07-15,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,107400,NA,NA,NA,NA,NA,395
"CHC",7,2002,2002-07-15,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,92050,NA,NA,NA,NA,NA,0
"CHS",7,2002,2002-07-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,24750,NA,NA,NA,NA,NA,0
"BA",7,2002,2002-07-15,NA,NA,NA,NA,NA,72000,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,0
"CHN",8,2002,2002-08-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,32355,NA,NA,NA,NA,NA,90
"CHC",8,2002,2002-08-15,NA,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,52000,NA,NA,NA,NA,NA,0
"CHS",8,2002,2002-08-15,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,92000,NA,NA,NA,NA,NA,0
"BA",8,2002,2002-08-15,NA,NA,NA,NA,NA,82200,NA,NA,NA,NA,NA,38000,NA,NA,NA,NA,NA,0
"CHN",9,2002,2002-09-15,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,23805,NA,NA,NA,NA,NA,275
"CHC",9,2002,2002-09-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,53050,NA,NA,NA,NA,NA,0
"CHS",9,2002,2002-09-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,29400,NA,NA,NA,NA,NA,0
